url,method,purpose,file,line_start,line_end
https://www.dsw.com/api/v1/coupons/claim,POST,Coupon application,h0.js,2001,4000
https://www.dsw.com/api/v1/cart/details,GET,Cart information retrieval,h0.js,2001,4000
https://cdn.joinhoney.com/dummy-store/api/,GET,Test store API,h0.js,2001,4000
https://www.expedia.com/Checkout,POST,Checkout operations,h0.js,2001,4000
https://www.fitflop.com/us/en/cart/coupon,POST,Coupon application,h0.js,2001,4000
https://www.forever21.com,POST,Store operations,h0.js,2001,4000
https://secure-www.gap.com/shopping-bag-xapi/apply-bag-promo/,POST,Promo code application,h0.js,2001,4000
https://www2.hm.com/en_ca/checkout/redeemVoucher,POST,Voucher redemption,h0.js,2001,4000
https://www2.hm.com/en_ca/checkout/releaseVoucher,POST,Voucher release,h0.js,2001,4000
https://www.hammacher.com/shoppingcart/applypromocode,POST,Promo code application,h0.js,2001,4000
https://www.homedepot.com/mcc-checkout/v2/promo/add,POST,Promo code application,h0.js,2001,4000
https://order-api.jcpenney.com/order-api/v1/accounts,GET,Account information,h0.js,2001,4000
https://www.jcrew.com/checkout-api/graphql,POST,GraphQL checkout API,h0.js,2001,4000
https://www.kohls.com/cnc/applyCoupons,POST,Coupon application,h0.js,2001,4000
https://www.loft.com/cws/cart/claimCoupon.jsp,POST,Coupon claim,h0.js,2001,4000
https://www.loft.com/cws/cart/removeCoupon.jsp,POST,Coupon removal,h0.js,2001,4000
https://www.macys.com/my-bag/,POST,Shopping bag operations,h0.js,2001,4000
https://www.officedepot.com,POST,Store operations,h0.js,2001,4000
https://secure-oldnavy.gap.com/shopping-bag-xapi/apply-bag-promo/,POST,Promo code application,h0.js,2001,4000
https://www.orbitz.com/Checkout/applyCoupon,POST,Coupon application,h0.js,2001,4000
https://www.orbitz.com/Checkout/removeCoupon,POST,Coupon removal,h0.js,2001,4000
https://www.papajohns.com/order/validate-promo,POST,Promo validation,h0.js,2001,4000
https://www.papajohns.com/order/apply-promo/,POST,Promo application,h0.js,2001,4000
https://www.papajohns.com/order/view-cart,GET,Cart viewing,h0.js,2001,4000
https://www.prettylittlething.fr/pltmobile/coupon/couponPost/,POST,Coupon application (FR),h0.js,2001,4000
https://checkout.prettylittlething.fr/checkout-api/coupon/set,POST,Coupon setting (FR),h0.js,2001,4000
https://checkout.prettylittlething.fr/checkout-api/coupon,GET,Coupon API (FR),h0.js,2001,4000
https://www.prettylittlething.com/pltmobile/coupon/couponPost/,POST,Coupon application,h0.js,2001,4000
https://checkout.prettylittlething.com/checkout-api/coupon/set,POST,Coupon setting,h0.js,2001,4000
https://checkout.prettylittlething.com/checkout-api/coupon,GET,Coupon API,h0.js,2001,4000
https://www.puritan.com/shoppingcart/applyCoupon,POST,Coupon application,h0.js,2001,4000
https://www.saksfifthavenue.com/cart-coupon-add,POST,Coupon addition,h0.js,2001,4000
https://www.sephora.com/api/shopping-cart/basket/promotions,POST,Basket promotions,h0.js,2001,4000
https://www.sephora.com/api/shopping-cart/baskets/current/promotions,POST,Current basket promotions,h0.js,2001,4000
https://www.shutterstock.com/papi/orders/,POST,Order processing,h0.js,2001,4000
https://www.staples.com/cc/api/checkout/default/coupon,POST,Coupon application,h0.js,4001,6000
https://tjmaxx.tjx.com/store/checkout/cart.jsp,POST,Cart operations,h0.js,4001,6000
