url,method,file,line_start,line_end
url,method,file,line_start,line_end
https://www.dsw.com/api/v1/coupons/claim,POST,h0.js,2001,4000
https://www.dsw.com/api/v1/cart/details,GET,h0.js,2001,4000
https://www.expedia.com/Checkout/applyCoupon,POST,h0.js,2001,4000
https://www.fitflop.com/us/en/cart/coupon,POST,h0.js,2001,4000
https://www.forever21.com/on/demandware.store/Sites-forever21-Site/en_US/Cart-AddCoupon,POST,h0.js,2001,4000
https://secure-www.gap.com/shopping-bag-xapi/apply-bag-promo/,POST,h0.js,2001,4000
https://www2.hm.com/en_ca/checkout/redeemVoucher,POST,h0.js,2001,4000
https://www.hammacher.com/shoppingcart/applypromocode,POST,h0.js,2001,4000
https://www.homedepot.com/mcc-checkout/v2/promo/add,POST,h0.js,2001,4000
https://order-api.jcpenney.com/order-api/v1/accounts/.../draft-order/adjustment/discounts,POST,h0.js,2001,4000
https://www.jcrew.com/checkout-api/graphql,POST,h0.js,2001,4000
https://www.kohls.com/cnc/applyCoupons,POST,h0.js,2001,4000
https://www.loft.com/cws/cart/claimCoupon.jsp,POST,h0.js,2001,4000
https://www.macys.com/my-bag/.../promo?promoCode=...,PUT,h0.js,2001,4000
https://www.officedepot.com/async/cart/addCoupon.do,POST,h0.js,2001,4000
https://secure-oldnavy.gap.com/shopping-bag-xapi/apply-bag-promo/,POST,h0.js,2001,4000
https://www.orbitz.com/Checkout/applyCoupon,POST,h0.js,2001,4000
https://www.papajohns.com/order/validate-promo,GET,h0.js,2001,4000
https://www.prettylittlething.fr/pltmobile/coupon/couponPost/,POST,h0.js,2001,4000
https://www.puritan.com/shoppingcart/applyCoupon,POST,h0.js,2001,4000
https://www.saksfifthavenue.com/cart-coupon-add,GET,h0.js,2001,4000
https://www.sephora.com/api/shopping-cart/basket/promotions,POST,h0.js,2001,4000
https://www.jcrew.com/checkout-api/graphql,POST,h0.js,2001,4000
https://www.shutterstock.com/papi/orders/...,PATCH,h0.js,2001,4000
https://www.staples.com/cc/api/checkout/default/coupon,POST,h0.js,4001,6000
https://tjmaxx.tjx.com/store/checkout/cart.jsp?_DARGS=/store/checkout/views/cart.jsp.promo,POST,h0.js,4001,6000
https://www.vimeo.com/,POST,h0.js,4001,6000
https://www.vitacost.com/Checkout/ShoppingCart.aspx?sce=view,POST,h0.js,4001,6000
https://www.wish.com/api/promo-code/apply,POST,h0.js,4001,6000
https://www.worldmarket.com/on/demandware.store/Sites-World_Market-Site/en_US/Cart-ApplyCoupon,GET,h0.js,4001,6000
https://www.worldmarket.com/on/demandware.store/Sites-World_Market-Site/en_US/Cart-RemoveCouponLineItem,GET,h0.js,4001,6000
https://d.joinhoney.com/v2/stores/modules/list,GET,h0.js,78000,79999
https://d.joinhoney.com/v2/stores/module/\{type\}/\{storeId\},GET,h0.js,78000,79999
https://cdn-checkout.joinhoney.com/honey-checkout/stores.json,GET,h0.js,80000,81999
https://cdn-checkout.joinhoney.com/honey-checkout/version_config.json,GET,h0.js,82000,83999
https://cdn-checkout-staging.joinhoney.com/honey-checkout/branches/branches.json,GET,h0.js,82000,83999
https://www.paypal.com/smart/button\?\*,GET,h0.js,82000,83999
https://www.paypal.com/smart/buttons\?\*,GET,h0.js,82000,83999
https://d.joinhoney.com/extusers/install,POST,h0.js,84000,85999
https://www.joinhoney.com/uninstall,GET,h0.js,84000,85999
https://www.joinhoney.com/welcome,GET,h0.js,84000,85999
https://www.joinhoney.com/explore\?onUpdate\=true,GET,h0.js,84000,85999
https://www.amazon.com/cart/ref\=ox_sc_inf_saved-for-later,POST,h0.js,88000,89999
GraphQL:endpoint:ext_getProductPriceHistory,,h0.js,92000,93999
GraphQL:endpoint:ext_getProductByIdsWithOffer,,h0.js,92000,93999
GraphQL:endpoint:ext_getProductByIdSecondaryDetails,,h0.js,92000,93999
GraphQL:endpoint:ext_addNonCatalogItemToDroplist,,h0.js,92000,93999
GraphQL:endpoint:ext_getDroplistByCanonicalUrl,,h0.js,92000,93999
GraphQL:endpoint:ext_updateNonCatalogItem,,h0.js,94000,95999
GraphQL:endpoint:ext_removeDroplist,,h0.js,94000,95999
